ï»¿Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,138688383,1776.6188026935865,5117119,65.55105506580608,804807,2978935,38.16060017804101,83871,1.0743999776874893,12955,
United States of America,Americas,31103006,9396.6,487157,147.18,73306,559010,168.88,5209,1.57,772,Community transmission
India,South-East Asia,14291917,1035.64,1231375,89.23,217353,174308,12.63,6666,0.48,1185,Clusters of cases
Brazil,Americas,13673507,6432.79,480302,225.96,73513,361884,170.25,21108,9.93,3459,Community transmission
France,Europe,5107935,7853.61,245943,378.14,37936,99442,152.9,2012,3.09,297,Community transmission
Russian Federation,Europe,4684148,3209.76,60164,41.23,8995,104795,71.81,2548,1.75,397,Clusters of cases
The United Kingdom,Europe,4380980,6453.44,16232,23.91,2671,127191,187.36,211,0.31,30,Community transmission
Turkey,Europe,4086957,4845.86,397091,470.83,61400,35031,41.54,1830,2.17,297,Community transmission
Italy,Europe,3826156,6415.26,108554,182.01,16963,115937,194.39,3076,5.16,380,Clusters of cases
Spain,Europe,3396685,7176.2,50861,107.45,5087,76882,162.43,277,0.59,11,Community transmission
Germany,Europe,3099273,3726.58,142957,171.89,25831,79628,95.75,1625,1.95,247,Community transmission
Poland,Europe,2660088,7007.95,132082,347.97,17846,61208,161.25,3781,9.96,596,Community transmission
Argentina,Americas,2604157,5761.95,154089,340.94,25157,58542,129.53,1710,3.78,368,Community transmission
Colombia,Americas,2585801,5081.87,106184,208.68,16487,66819,131.32,2052,4.03,337,Community transmission
Mexico,Americas,2291246,1777.09,29367,22.78,5113,210812,163.51,5214,4.04,518,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2168872,2582.21,161938,192.8,25078,65680,78.2,1796,2.14,321,Community transmission
Ukraine,Europe,1921244,4393.05,97570,223.1,17479,39096,89.4,2715,6.21,438,Community transmission
Peru,Americas,1667737,5058.06,59839,181.49,8030,55812,169.27,2087,6.33,323,Community transmission
Czechia,Europe,1597103,14934.66,23950,223.96,3256,28317,264.79,700,6.55,88,Community transmission
Indonesia,South-East Asia,1589359,581.07,36479,13.34,6177,43073,15.75,846,0.31,167,Community transmission
South Africa,Africa,1562931,2635.25,7956,13.41,1372,53571,90.33,398,0.67,73,Community transmission
Netherlands,Europe,1378145,7916.92,51220,294.24,8797,16861,96.86,173,0.99,14,Community transmission
Chile,Americas,1101698,5763.16,50428,263.8,7431,24766,129.56,787,4.12,218,Community transmission
Canada,Americas,1087152,2880.47,59111,156.62,8590,23445,62.12,272,0.72,53,Community transmission
Romania,Europe,1020301,5278.65,26688,138.07,3852,25800,133.48,1067,5.52,195,Community transmission
Iraq,Eastern Mediterranean,956860,2378.92,53421,132.81,7810,14885,37.01,279,0.69,49,Community transmission
Belgium,Europe,939309,8152,19179,166.45,2,23636,205.13,236,2.05,8,Community transmission
Philippines,Western Pacific,904285,825.22,75956,69.31,11429,15594,14.23,1475,1.35,147,Community transmission
Sweden,Europe,892480,8641.71,42865,415.05,7102,13761,133.25,39,0.38,4,Community transmission
Israel,Europe,836726,9666.94,1085,12.54,222,6315,72.96,35,0.4,3,Community transmission
Portugal,Europe,829358,8055.22,3725,36.18,501,16933,164.46,34,0.33,2,Clusters of cases
Hungary,Europe,742198,7597.07,36383,372.41,5216,24762,253.46,1796,18.38,241,Community transmission
Pakistan,Eastern Mediterranean,739818,334.92,34301,15.53,5395,15872,7.19,748,0.34,118,Community transmission
Bangladesh,South-East Asia,707362,429.51,41230,25.04,4192,10081,6.12,560,0.34,94,Community transmission
Jordan,Eastern Mediterranean,679138,6656.17,23682,232.11,2963,8057,78.97,492,4.82,70,Community transmission
Serbia,Europe,654870,9454.28,21857,315.55,2971,5881,84.9,261,3.77,35,Community transmission
Switzerland,Europe,627318,7248.36,11786,136.18,6,9811,113.36,28,0.32,0,Community transmission
Austria,Europe,583162,6551.6,17348,194.9,2561,9563,107.44,231,2.6,33,Community transmission
Japan,Western Pacific,520745,411.73,24539,19.4,4624,9538,7.54,204,0.16,38,Clusters of cases
Lebanon,Eastern Mediterranean,504800,7395.85,15372,225.22,2501,6809,99.76,260,3.81,31,Community transmission
Morocco,Eastern Mediterranean,504260,1366.17,3937,10.67,596,8927,24.19,54,0.15,7,Community transmission
United Arab Emirates,Eastern Mediterranean,491423,4968.69,13292,134.39,1928,1545,15.62,22,0.22,4,Clusters of cases
Saudi Arabia,Eastern Mediterranean,402142,1155.12,6288,18.06,985,6791,19.51,63,0.18,10,Community transmission
Bulgaria,Europe,382761,5506.18,15385,221.32,2185,14979,215.48,809,11.64,108,Clusters of cases
Slovakia,Europe,374586,6863.22,5193,95.15,636,10970,200.99,559,10.24,93,Clusters of cases
Malaysia,Western Pacific,367977,1136.92,12224,37.77,2148,1363,4.21,55,0.17,10,Community transmission
Panama,Americas,359516,8332.22,2239,51.89,395,6177,143.16,29,0.67,4,Community transmission
Ecuador,Americas,355431,2014.57,13812,78.29,4892,17489,99.13,374,2.12,89,Community transmission
Belarus,Europe,340023,3598.39,8215,86.94,1222,2393,25.32,69,0.73,10,Community transmission
Kazakhstan,Europe,333046,1773.72,15109,80.47,0,3963,21.11,151,0.8,0,Clusters of cases
Greece,Europe,308006,2873.57,19776,184.5,3822,9239,86.2,559,5.22,104,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,305187,5982.4,14468,283.61,1717,3204,62.81,161,3.16,14,Community transmission
Croatia,Europe,303598,7481.16,15234,375.39,2698,6486,159.83,251,6.19,44,Community transmission
Azerbaijan,Europe,294211,2901.73,15030,148.24,2317,4045,39.89,234,2.31,36,Clusters of cases
Georgia,Europe,293321,7352.92,6138,153.87,1077,3916,98.17,58,1.45,8,Community transmission
Bolivia (Plurinational State of),Americas,285291,2444.02,7325,62.75,1108,12519,107.25,134,1.15,23,Community transmission
Nepal,South-East Asia,282054,968.03,2954,10.14,490,3066,10.52,28,0.1,5,Clusters of cases
Tunisia,Eastern Mediterranean,279376,2363.86,12549,106.18,2649,9553,80.83,417,3.53,73,Community transmission
Dominican Republic,Americas,259639,2393.45,3608,33.26,379,3405,31.39,27,0.25,3,Community transmission
Kuwait,Eastern Mediterranean,253066,5925.81,10218,239.27,1391,1428,33.44,45,1.05,5,Community transmission
Republic of Moldova,Europe,244177,6053.03,5031,124.72,812,5493,136.17,186,4.61,27,Community transmission
Ireland,Europe,242402,4882.77,2679,53.96,297,4820,97.09,83,1.67,8,Community transmission
Paraguay,Americas,242161,3395.16,15045,210.93,2020,5040,70.66,456,6.39,62,Community transmission
Denmark,Europe,240330,4127.42,4682,80.41,798,2449,42.06,13,0.22,2,Community transmission
Ethiopia,Africa,236554,205.76,12889,11.21,2149,3287,2.86,209,0.18,33,Community transmission
Lithuania,Europe,231601,8288.96,7292,260.98,1139,3739,133.82,79,2.83,9,Community transmission
Slovenia,Europe,229966,10972.39,6547,312.38,891,4417,210.75,23,1.1,1,Clusters of cases
Costa Rica,Americas,225343,4423.59,5497,107.91,0,3044,59.76,44,0.86,0,Community transmission
Egypt,Eastern Mediterranean,213798,208.92,5716,5.59,837,12611,12.32,288,0.28,41,Community transmission
Guatemala,Americas,208694,1164.88,8730,48.73,0,7120,39.74,165,0.92,0,Community transmission
